id_pergunta,Categoria,Pergunta,OpcaoA,OpcaoB,OpcaoC,OpcaoD,RespostaCorreta
1,"Sustentabilidade","O que devemos fazer com o lixo reciclável?","Jogar na rua","Separar e colocar nos locais corretos","Guardar para sempre em casa","Misturar tudo no mesmo saco","Separar e colocar nos locais corretos"
2,"Sustentabilidade","Qual desses hábitos ajuda a natureza?","Plantar árvores","Deixar a torneira aberta enquanto escova os dentes","Jogar lixo no chão","Usar plástico sempre que puder","Plantar árvores"
3,"Sustentabilidade","De onde vem a energia do sol?","De um poste de luz","Da lua","Do próprio sol","De uma bateria mágica","Do próprio sol"
4,"Sustentabilidade","Qual desses animais vive na água e pode ser prejudicado pelo lixo?","Gato","Caranguejo","Leão","Galo","Caranguejo"
5,"Sebrae","O que o Sebrae faz?","Ajuda pessoas que querem ter seu próprio negócio","Vende brinquedos","Faz jogos de videogame","Entrega cartas","Ajuda pessoas que querem ter seu próprio negócio"
6,"Sebrae","Se alguém quiser vender brigadeiros na escola o que precisa fazer?","Contar para os amigos e divulgar","Comer todos os brigadeiros sozinho","Deixar os brigadeiros caírem no chão","Jogar fora antes de vender","Contar para os amigos e divulgar"
7,"Sebrae","Qual é uma das vantagens de ser um empreendedor?","Poder tomar suas próprias decisões","Ter um chefe exigente","Trabalhar menos que os outros","Não precisar aprender nada novo","Poder tomar suas próprias decisões"
8,"Sebrae","Quais são os benefícios de usar o Sebrae?","Receber orientação e apoio para abrir um negócio","Ganhar prêmios em dinheiro","Viajar para o exterior","Comprar produtos com desconto","Receber orientação e apoio para abrir um negócio"
9,"Empreendedorismo","O que um empreendedor faz?","Cria ideias e abre um negócio","Só brinca o dia todo","Compra coisas e não usa","Dorme e espera as coisas acontecerem","Cria ideias e abre um negócio"
10,"Empreendedorismo","O que é importante para quem quer começar um negócio?","Ter boas ideias e trabalhar com dedicação","Esperar a sorte chegar","Guardar todas as ideias sem contar para ninguém","Fazer tudo sem planejamento","Ter boas ideias e trabalhar com dedicação"
11,"Empreendedorismo","O que um empreendedor deve fazer primeiro?","Esperar os clientes chegarem até ele","Ignorar os concorrentes","Pesquisar o mercado","Trabalhar sem plano","Pesquisar o mercado"
12,"Empreendedorismo","O que um empreendedor deve evitar?","Ignorar a opinião dos clientes","Investir em marketing","Fazer um plano","Pedir ajuda","Ignorar a opinião dos clientes"
13,"Negócios-para-chiquitos","Por que devemos reciclar?","Para reduzir o lixo e ajudar o planeta","Para sujar o parquinho","Para ficarmos ricos","Para sujar as ruas","Para reduzir o lixo e ajudar o planeta"
14,"Negócios-para-chiquitos","Por que devemos plantar árvores?","Para deixar o solo seco","Para gastar mais dinheiro","Para melhorar o ar e o ambiente","Para fazer mais calor","Para melhorar o ar e o ambiente"
15,"Negócios-para-chiquitos","Por que devemos usar menos plástico?","Para poluir os rios","Para deixar as ruas sem sombras","Para jogar mais lixo","Para proteger a natureza","Para proteger a natureza"
16,"Negócios-para-chiquitos","Por que devemos economizar água?","Para tomar menos banhos","Para ajudar a preservar o meio ambiente","Para deixar a torneira aberta","Para deixar as ruas bagunçadas","Para ajudar a preservar o meio ambiente"
